Country Name,vaccine_type,total_vaccinations,Year
Argentina,Sputnik V,9585590,2021
Argentina,Oxford/AstraZeneca,9593505,2021
Argentina,Sinopharm/Beijing,5165599,2021
Argentina,Sputnik V,9716201,2021
Argentina,Moderna,19,2021
Argentina,Oxford/AstraZeneca,9726072,2021
Argentina,Sinopharm/Beijing,5274064,2021
Argentina,Sputnik V,9885830,2021
Argentina,Moderna,21,2021
Argentina,Oxford/AstraZeneca,9789301,2021
Argentina,Sinopharm/Beijing,5386135,2021
Argentina,Sputnik V,10068229,2021
Argentina,Moderna,25,2021
Argentina,Oxford/AstraZeneca,9861211,2021
Argentina,Sinopharm/Beijing,5545767,2021
Argentina,Sputnik V,10168759,2021
Argentina,Moderna,27,2021
Argentina,Oxford/AstraZeneca,9912774,2021
Argentina,Sinopharm/Beijing,5610634,2021
Argentina,Sputnik V,10217888,2021
Argentina,Oxford/AstraZeneca,10000513,2021
Argentina,Sinopharm/Beijing,5788393,2021
Argentina,Sputnik V,10339727,2021
Argentina,Oxford/AstraZeneca,10080415,2021
Argentina,Pfizer/BioNTech,56,2021
Argentina,Sinopharm/Beijing,5959482,2021
Argentina,Sputnik V,10482459,2021
Argentina,Oxford/AstraZeneca,10149430,2021
Argentina,Pfizer/BioNTech,57,2021
Argentina,Sinopharm/Beijing,6160015,2021
Argentina,Sputnik V,10611416,2021
Argentina,Oxford/AstraZeneca,10211557,2021
Argentina,Pfizer/BioNTech,58,2021
Argentina,Sinopharm/Beijing,6374842,2021
Argentina,Sputnik V,10734579,2021
Argentina,Oxford/AstraZeneca,10264449,2021
Argentina,Sinopharm/Beijing,6634888,2021
Argentina,Sputnik V,10878164,2021
Argentina,Oxford/AstraZeneca,10304860,2021
Argentina,Sinopharm/Beijing,6809339,2021
Argentina,Sputnik V,10986050,2021
